0,1,2,3,4,5,6,7,8,9,10
chile,Biobío,"Penco, Biobío",48971.0,108.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Quilaco, Biobío",4440.0,1124.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Quilleco, Biobío",9700.0,1122.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"San Pedro de la Paz, Biobío",150992.0,113.0,2.0,4.0,75496.0,37748.0,28.25,SEMIDESIERTO
chile,Biobío,"San Rosendo, Biobío",3575.0,92.0,1.0,1.0,3575.0,3575.0,92.0,SEMIBOSQUE
chile,Biobío,"Santa Bárbara, Biobío",14075.0,1255.0,2.0,2.0,7037.5,7037.5,627.5,SEMIDESIERTO
chile,Biobío,"Santa Juana, Biobío",14947.0,731.0,1.0,1.0,14947.0,14947.0,731.0,SEMIDESIERTO
chile,Biobío,"Talcahuano, Biobío",147322.0,92.0,1.0,2.0,147322.0,73661.0,46.0,DESIERTO
chile,Biobío,"Tirúa, Biobío",10208.0,624.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Tomé, Biobío",56907.0,495.0,2.0,2.0,28453.5,28453.5,247.5,SEMIDESIERTO
chile,Biobío,"Tucapel, Biobío",15729.0,915.0,2.0,5.0,7864.5,3145.8,183.0,SEMIDESIERTO
chile,Biobío,"Yumbel, Biobío",23170.0,727.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Coquimbo,"Andacollo, Coquimbo",11566.0,310.0,2.0,9.0,5783.0,1285.111111,34.44444444,SEMIDESIERTO
chile,Coquimbo,"Canela, Coquimbo",9639.0,2197.0,1.0,1.0,9639.0,9639.0,2197.0,SEMIDESIERTO
chile,Coquimbo,"Combarbalá, Coquimbo",12954.0,1896.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Coquimbo,"Coquimbo, Coquimbo",263719.0,1429.0,5.0,28.0,52743.8,9418.535714,51.03571429,BOSQUE
chile,Coquimbo,"Illapel, Coquimbo",32009.0,2629.0,3.0,5.0,10669.66667,6401.8,525.8,SEMIDESIERTO
chile,Coquimbo,"La Higuera, Coquimbo",4335.0,4158.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Coquimbo,"La Serena, Coquimbo",250141.0,1893.0,19.0,74.0,13165.31579,3380.283784,25.58108108,BOSQUE
chile,Coquimbo,"Los Vilos, Coquimbo",22879.0,1861.0,5.0,9.0,4575.8,2542.111111,206.7777778,BOSQUE
chile,Coquimbo,"Monte Patria, Coquimbo",29997.0,4366.0,1.0,1.0,29997.0,29997.0,4366.0,DESIERTO
chile,Coquimbo,"Ovalle, Coquimbo",118696.0,3835.0,5.0,12.0,23739.2,9891.333333,319.5833333,SEMIBOSQUE
chile,Coquimbo,"Paihuano, Coquimbo",4649.0,1495.0,1.0,1.0,4649.0,4649.0,1495.0,DESIERTO
chile,Coquimbo,"Punitaqui, Coquimbo",12076.0,1339.0,2.0,2.0,6038.0,6038.0,669.5,SEMIDESIERTO
chile,Coquimbo,"Río Hurtado, Coquimbo",4334.0,2117.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Coquimbo,"Salamanca, Coquimbo",27823.0,3445.0,6.0,6.0,4637.166667,4637.166667,574.1666667,SEMIBOSQUE
chile,Coquimbo,"Vicuña, Coquimbo",28047.0,7610.0,3.0,18.0,9349.0,1558.166667,422.7777778,SEMIDESIERTO
chile,Los Lagos,"Ancud, Los Lagos",40949.0,1752.0,6.0,14.0,6824.833333,2924.928571,125.1428571,SEMIBOSQUE
chile,Los Lagos,"Calbuco, Los Lagos",36474.0,491.0,2.0,2.0,18237.0,18237.0,245.5,SEMIDESIERTO
chile,Los Lagos,"Castro, Los Lagos",46997.0,473.0,10.0,25.0,4699.7,1879.88,18.92,BOSQUE
chile,Los Lagos,"Chaitén, Los Lagos",4025.0,8471.0,3.0,4.0,1341.666667,1006.25,2117.75,SEMIBOSQUE
chile,Los Lagos,"Chonchi, Los Lagos",16078.0,1362.0,1.0,1.0,16078.0,16078.0,1362.0,DESIERTO
chile,Los Lagos,"Cochamó, Los Lagos",4199.0,3911.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Curaco de Vélez, Los Lagos",3662.0,80.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Dalcahue, Los Lagos",14894.0,1239.0,1.0,2.0,14894.0,7447.0,619.5,SEMIDESIERTO
chile,Los Lagos,"Fresia, Los Lagos",12320.0,1278.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Frutillar, Los Lagos",22554.0,831.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Futaleufú, Los Lagos",3062.0,1280.0,4.0,4.0,765.5,765.5,320.0,SEMIBOSQUE
chile,Los Lagos,"Hualaihué, Los Lagos",9480.0,2788.0,1.0,2.0,9480.0,4740.0,1394.0,SEMIDESIERTO
chile,Los Lagos,"Llanquihue, Los Lagos",18088.0,421.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Los Muermos, Los Lagos",17162.0,1246.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Maullín, Los Lagos",15063.0,861.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Osorno, Los Lagos",166455.0,951.0,8.0,28.0,20806.875,5944.821429,33.96428571,BOSQUE
chile,Los Lagos,"Palena, Los Lagos",1903.0,2764.0,1.0,1.0,1903.0,1903.0,2764.0,SEMIDESIERTO
chile,Los Lagos,"Puerto Montt, Los Lagos",277040.0,1673.0,10.0,34.0,27704.0,8148.235294,49.20588235,BOSQUE
chile,Los Lagos,"Puerto Octay, Los Lagos",8865.0,1796.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Puerto Varas, Los Lagos",52942.0,4065.0,3.0,5.0,17647.33333,10588.4,813.0,SEMIBOSQUE
chile,Los Lagos,"Puqueldón, Los Lagos",4048.0,97.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Purranque, Los Lagos",19542.0,1459.0,1.0,2.0,19542.0,9771.0,729.5,SEMIDESIERTO
chile,Los Lagos,"Puyehue, Los Lagos",11712.0,1598.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Queilén, Los Lagos",5690.0,333.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"Quemchi, Los Lagos",28460.0,3244.0,1.0,2.0,28460.0,14230.0,1622.0,SEMIDESIERTO
chile,Los Lagos,"Quellón, Los Lagos",8409.0,440.0,3.0,12.0,2803.0,700.75,36.66666667,SEMIBOSQUE
chile,Los Lagos,"Quinchao, Los Lagos",7678.0,161.0,3.0,5.0,2559.333333,1535.6,32.2,SEMIDESIERTO
chile,Los Lagos,"Río Negro, Los Lagos",13874.0,1266.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Lagos,"San Juan de la Costa, Los Lagos",7776.0,1557.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Region de Los Lagos,"San Pablo, Los Lagos",10883.0,637.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Ríos,"Corral, Los Ríos",5501.0,767.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Los Ríos,"Futrono, Los Ríos",15635.0,2121.0,2.0,2.0,7817.5,7817.5,1060.5,SEMIDESIERTO
chile,Los Ríos,"La Unión, Los Ríos",38907.0,2137.0,6.0,12.0,6484.5,3242.25,178.0833333,SEMIBOSQUE
chile,Los Ríos,"Lago Ranco, Los Ríos",10527.0,1763.0,2.0,4.0,5263.5,2631.75,440.75,DESIERTO
chile,Los Ríos,"Lanco, Los Ríos",16876.0,532.0,8.0,11.0,2109.5,1534.181818,48.36363636,SEMIBOSQUE
chile,Los Ríos,"Los Lagos, Los Ríos",21431.0,1791.0,2.0,3.0,10715.5,7143.666667,597.0,SEMIBOSQUE
chile,Los Ríos,"Máfil, Los Ríos",8074.0,583.0,1.0,1.0,8074.0,8074.0,583.0,DESIERTO
chile,Los Ríos,"Mariquina, Los Ríos",22973.0,1321.0,3.0,4.0,7657.666667,5743.25,330.25,SEMIBOSQUE
chile,Los Ríos,"Paillaco, Los Ríos",19802.0,896.0,6.0,6.0,3300.333333,3300.333333,149.3333333,SEMIBOSQUE
chile,Los Ríos,"Panguipulli, Los Ríos",35098.0,3292.0,9.0,14.0,3899.777778,2507.0,235.1428571,BOSQUE
chile,Los Ríos,"Río Bueno, Los Ríos",33363.0,2212.0,8.0,13.0,4170.375,2566.384615,170.1538462,BOSQUE
chile,Los Ríos,"Valdivia, Los Ríos",170043.0,1016.0,23.0,51.0,7393.173913,3334.176471,19.92156863,BOSQUE
chile,Magallanes,"Cabo de Hornos, Magallanes",1750.0,21551.0,1.0,1.0,1750.0,1750.0,21551.0,Desierto
chile,Magallanes,"Laguna Blanca, Magallanes",269.0,3696.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Magallanes,"Natales, Magallanes",24152.0,49924.0,4.0,9.0,6038.0,2683.555556,5547.111111,Semibosque
chile,Magallanes,"Porvenir, Magallanes",6809.0,9707.0,1.0,2.0,6809.0,3404.5,4853.5,Semidesierto
chile,Magallanes,"Primavera, Magallanes",431.0,6530.0,1.0,1.0,431.0,431.0,6530.0,Semidesierto
chile,Magallanes,"Punta Arenas, Magallanes",132363.0,17846.0,19.0,64.0,6966.473684,2068.171875,278.84375,Bosque
chile,Magallanes,"Río Verde, Magallanes",102.0,17248.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Magallanes,"San Gregorio, Magallanes",241.0,6884.0,1.0,1.0,241.0,241.0,6884.0,Semidesierto
chile,Magallanes,"Timaukel, Magallanes",157.0,10759.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Magallanes,"Torres del Paine, Magallanes",203.0,6630.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Maule,"Cauquenes, Maule",42798.0,2126.0,4.0,7.0,10699.5,6114.0,303.7142857,SEMIBOSQUE
chile,Maule,"Chanco, Maule",9446.0,530.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Colbún, Maule",22637.0,2900.0,1.0,1.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Constitución, Maule",47004.0,1344.0,6.0,11.0,7834.0,4273.090909,122.1818182,SEMIBOSQUE
chile,Maule,"Curepto, Maule",9519.0,1074.0,1.0,4.0,9519.0,2379.75,268.5,SEMIDESIERTO
chile,Maule,"Curicó, Maule",159968.0,1328.0,13.0,60.0,12305.23077,2666.133333,22.13333333,BOSQUE
chile,Maule,"Empedrado, Maule",3990.0,565.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Hualañé, Maule",10775.0,629.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Licantén, Maule",6892.0,273.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Linares, Maule",96744.0,1466.0,8.0,12.0,12093.0,8062.0,122.1666667,SEMIBOSQUE
chile,Maule,"Longaví, Maule",33299.0,1454.0,1.0,1.0,33299.0,33299.0,1454.0,SEMIDESIERTO
chile,Maule,"Maule, Maule",61081.0,238.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Molina, Maule",48949.0,1552.0,1.0,1.0,48949.0,48949.0,1552.0,DESIERTO
chile,Maule,"Pelarco, Maule",45323.0,1638.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Pelluhue, Maule",9229.0,332.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Pencahue, Maule",8578.0,371.0,1.0,6.0,8578.0,1429.666667,61.83333333,SEMIDESIERTO
chile,Maule,"Parral, Maule",9181.0,957.0,1.0,1.0,9181.0,9181.0,957.0,DESIERTO
chile,Maule,"Rauco, Maule",11266.0,309.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Retiro, Maule",22310.0,827.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Río Claro, Maule",14276.0,431.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Romeral, Maule",17233.0,1597.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Sagrada Familia, Maule",19427.0,549.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"San Clemente, Maule",47380.0,4504.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"San Javier, Maule",49559.0,1313.0,3.0,5.0,16519.66667,9911.8,262.6,SEMIBOSQUE
chile,Maule,"San Rafael, Maule",11230.0,264.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Talca, Maule",232131.0,232.0,11.0,35.0,21102.81818,6632.314286,6.628571429,BOSQUE
chile,Maule,"Teno, Maule",30113.0,618.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Vichuquén, Maule",4716.0,426.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Villa Alegre, Maule",17919.0,190.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Maule,"Yerbas Buenas, Maule",20035.0,262.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Ñuble,"Bulnes, Ñuble",23863.0,425.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Chillán, Ñuble",190382.0,511.0,12.0,42.0,15865.16667,4532.904762,12.16666667,Bosque
chile,Ñuble,"Chillán Viejo, Ñuble",32688.0,292.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Cobquecura, Ñuble",5495.0,570.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Coelemu, Ñuble",15895.0,342.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Coihueco, Ñuble",29766.0,1777.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"El Carmen, Ñuble",13186.0,664.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Ninhue, Ñuble",5763.0,401.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Ñiquén, Ñuble",12797.0,493.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Pemuco, Ñuble",8930.0,563.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Pinto, Ñuble",12502.0,1164.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Portezuelo, Ñuble",5203.0,282.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Quillón, Ñuble",19165.0,423.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Quirihue, Ñuble",11746.0,589.0,1.0,2.0,11746.0,5873.0,294.5,Semidesierto
chile,Ñuble,"Ránquil, Ñuble",6508.0,248.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"San Carlos, Ñuble",55847.0,874.0,1.0,5.0,55847.0,11169.4,174.8,Semidesierto
chile,Ñuble,"San Fabián, Ñuble",5245.0,1568.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"San Ignacio, Ñuble",17405.0,364.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"San Nicolás, Ñuble",15099.0,491.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Trehuaco, Ñuble",6124.0,313.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,Ñuble,"Yungay, Ñuble",18680.0,824.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,O'Higgins,"Chépica, O'Higgins",15668.0,503.0,1.0,1.0,15668.0,15668.0,503.0,Semidesierto
chile,O'Higgins,"Chimbarongo, O'Higgins",37258.0,498.0,1.0,2.0,37258.0,18629.0,249.0,Desierto
chile,O'Higgins,"Codegua, O'Higgins",13955.0,287.0,3.0,6.0,4651.666667,2325.833333,47.83333333,Semibosque
chile,O'Higgins,"Coinco, O'Higgins",7916.0,98.0,1.0,1.0,7916.0,7916.0,98.0,Desierto
chile,O'Higgins,"Coltauco, O'Higgins",21373.0,225.0,1.0,3.0,21373.0,7124.333333,75.0,Semidesierto
chile,O'Higgins,"Doñihue, O'Higgins",21925.0,78.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,O'Higgins,"Graneros, O'Higgins",35938.0,113.0,2.0,5.0,17969.0,7187.6,22.6,Semibosque
chile,O'Higgins,"La Estrella, O'Higgins",4609.0,435.0,0.0,0.0,0.0,0.0,0.0,Desierto
chile,O'Higgins,"Las Cabras, O'Higgins",27554.0,749.0,2.0,4.0,13777.0,6888.5,187.25,Semidesierto
chile,O'Higgins,"Litueche, O'Higgins",8852.0,619.0,4.0,11.0,2213.0,804.7272727,56.27272727,Semibosque
chile,O'Higgins,"Lolol, O'Higgins",7791.0,597.0,1.0,1.0,7791.0,7791.0,597.0,Desierto
chile,O'Higgins,"Machalí, O'Higgins",60875.0,2586.0,5.0,12.0,12175.0,5072.916667,215.5,Bosque
